"(68.53385344106994, 110.45623317597283)"
"(68.40120221948212, 112.6501297697869)"
"(152.37691521961185, 274.4447917828801)"
"(366.5660803311071, 427.2684335409151)"
"(48.351157222665606, 76.09882655471574)"
"(183.90632065270816, 253.3862555225126)"
"(123.04347403228944, 258.4875110780041)"
"(134.71422849704615, 229.6739885667242)"
"(310.5394860056186, 422.09719695289164)"
"(132.52693932213867, 285.45711205221363)"
"(308.02863370652926, 488.5211219864071)"
"(280.1115224433133, 395.5833217228587)"
"(282.6489422527158, 472.6896247353997)"
"(160.67995497608104, 316.7429080305824)"
"(165.47441155492155, 274.28065049657033)"
"(399.32520936225035, 372.9304835769468)"
"(201.1247561351268, 350.5304860745329)"
"(116.87573816851035, 208.639886427559)"
"(244.92821598729486, 387.3846103686895)"
"(304.00118764845604, 508.23164989328205)"
