"(501.20576683590383, 637.8203144473416)"
"(60.107011942769304, 91.80194076914184)"
"(254.28926488863397, 407.5647436120916)"
"(372.23452672878864, 566.670385646096)"
"(232.10386551022594, 320.0098060473014)"
"(349.6415034744157, 410.3823687728706)"
"(228.76100307062435, 328.74759818189074)"
"(362.64188733750603, 443.9540060389295)"
"(279.7712754780416, 387.8752438309536)"
"(279.15164011246486, 469.2905623657804)"
"(215.5679851668727, 357.8646294135304)"
"(308.0590219224283, 468.02576790267153)"
"(223.81593352883675, 337.7132553729929)"
"(232.50048141729252, 380.23792511214845)"
"(211.97079694323145, 327.085047969137)"
"(334.81589468551925, 500.59368716588983)"
"(84.71164510166359, 131.95694062368767)"
"(141.6342837433893, 230.28284658081077)"
"(140.69529411764705, 251.70901246926022)"
"(178.6410639290714, 268.1318766380214)"
"(263.5178050812162, 407.19638233854766)"
"(200.96589851024208, 328.54677428338164)"
"(244.84735407463108, 334.3695204848237)"
"(353.15705263157895, 457.7783039255856)"
